-------------------------------------------------------------------------------------------,,,,,,,,,
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       ",,,,,,,,,
 in A History of Atmospheric CO2 and its effects on Plants, Animals," and Ecosystems""","     """,,,,,,
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 ",,,,,,,,,
" New York, 2005.                                                                           ",,,,,,,,,
                                                                                           ,,,,,,,,,
-------------------------------------------------------------------------------------------,,,,,,,,,
                                                                                           ,,,,,,,,,
 The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant ,,,,,,,,,
 formats. Column 5 below gives monthly CO2 concentrations in micro-mol CO2 per mole (ppm)  ,,,,,,,,,
 reported on the 2012 SIO manometric mole fraction scale.  This is the standard           ,,,,,,,,,
 version of the data most often sought.  The monthly values have been adjusted             ,,,,,,,,,
 to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  ,,,,,,,,,
 adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           ,,,,,,,,,
 subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      ,,,,,,,,,
 smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic ,,,,,,,,,
 functions with linear gain.  Column 8 is the same smoothed version with the seasonal      ,,,,,,,,,
 cycle removed.  Column 9 is identical to Column 5 except that the missing values from     ,,,,,,,,,
 Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  ,,,,,,,,,
 except missing values have been filled with values from Column 8.  Missing values are     ,,,,,,,,,
 denoted by -99.99                                                                         ,,,,,,,,,
                                                                                           ,,,,,,,,,
 CO2 concentrations are measured on the '12' calibration scale                             ,,,,,,,,,
                                                                                           ,,,,,,,,,
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm]
1985,1,31062,1985.0411,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1985,2,31093,1985.126,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1985,3,31121,1985.2027,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1985,4,31152,1985.2877,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1985,5,31182,1985.3699,352.6,347.82,351.65,346.88,352.6,347.82
1985,6,31213,1985.4548,348.03,345.21,349.73,346.99,348.03,345.21
1985,7,31243,1985.537,343.2,346.5,343.67,347.09,343.2,346.5
1985,8,31274,1985.6219,-99.99,-99.99,337.94,347.2,337.94,347.2
1985,9,31305,1985.7068,338.48,347.26,338.59,347.32,338.48,347.26
1985,10,31335,1985.789,342.64,347.07,343.08,347.43,342.64,347.07
1985,11,31366,1985.874,346.96,347.3,347.26,347.55,346.96,347.3
1985,12,31396,1985.9562,350.1,347.9,349.89,347.67,350.1,347.9
1986,1,31427,1986.0411,350.99,347.51,351.28,347.79,350.99,347.51
1986,2,31458,1986.126,351.5,347.4,352.01,347.9,351.5,347.4
1986,3,31486,1986.2027,352.67,348.18,352.49,348,352.67,348.18
1986,4,31517,1986.2877,352.95,348.29,352.76,348.1,352.95,348.29
1986,5,31547,1986.3699,353.54,348.73,353,348.19,353.54,348.73
1986,6,31578,1986.4548,351.64,348.81,351.05,348.28,351.64,348.81
1986,7,31608,1986.537,346.84,350.17,344.91,348.35,346.84,350.17
1986,8,31639,1986.6219,340.44,349.72,339.09,348.42,340.44,349.72
1986,9,31670,1986.7068,339.27,348.11,339.7,348.49,339.27,348.11
1986,10,31700,1986.789,344.16,348.62,344.17,348.55,344.16,348.62
1986,11,31731,1986.874,348.54,348.88,348.34,348.63,348.54,348.88
1986,12,31761,1986.9562,349.37,347.16,350.96,348.72,349.37,347.16
1987,1,31792,1987.0411,351.44,347.94,352.36,348.84,351.44,347.94
1987,2,31823,1987.126,352.09,347.96,353.11,348.98,352.09,347.96
1987,3,31851,1987.2027,353.88,349.36,353.64,349.12,353.88,349.36
1987,4,31882,1987.2877,353.56,348.87,353.98,349.29,353.56,348.87
1987,5,31912,1987.3699,354.52,349.68,354.3,349.47,354.52,349.68
1987,6,31943,1987.4548,352.8,349.95,352.44,349.66,352.8,349.95
1987,7,31973,1987.537,348.21,351.56,346.37,349.84,348.21,351.56
1987,8,32004,1987.6219,341.02,350.37,340.65,350.04,341.02,350.37
1987,9,32035,1987.7068,340.4,349.3,341.39,350.23,340.4,349.3
1987,10,32065,1987.789,346.04,350.53,346.02,350.43,346.04,350.53
1987,11,32096,1987.874,349.19,349.53,350.36,350.65,349.19,349.53
1987,12,32126,1987.9562,352.53,350.3,353.13,350.88,352.53,350.3
1988,1,32157,1988.041,354.05,350.52,354.66,351.12,354.05,350.52
1988,2,32188,1988.1257,355.41,351.26,355.54,351.38,355.41,351.26
1988,3,32217,1988.2049,356.15,351.6,356.19,351.63,356.15,351.6
1988,4,32248,1988.2896,357.17,352.45,356.63,351.9,357.17,352.45
1988,5,32278,1988.3716,356.87,352.01,357.03,352.17,356.87,352.01
1988,6,32309,1988.4563,356.21,353.41,355.17,352.45,356.21,353.41
1988,7,32339,1988.5383,348.44,351.92,349.11,352.71,348.44,351.92
1988,8,32370,1988.623,344.08,353.52,343.49,352.98,344.08,353.52
1988,9,32401,1988.7077,-99.99,-99.99,344.37,353.24,344.37,353.24
1988,10,32431,1988.7896,349.51,353.99,349.07,353.47,349.51,353.99
1988,11,32462,1988.8743,354.82,355.16,353.42,353.7,354.82,355.16
1988,12,32492,1988.9563,357.45,355.21,356.18,353.91,357.45,355.21
1989,1,32523,1989.0411,356.32,352.76,357.68,354.11,356.32,352.76
1989,2,32554,1989.126,358.84,354.66,358.49,354.3,358.84,354.66
1989,3,32582,1989.2027,360.08,355.5,359.04,354.45,360.08,355.5
1989,4,32613,1989.2877,359.51,354.76,359.36,354.61,359.51,354.76
1989,5,32643,1989.3699,359.52,354.61,359.65,354.75,359.52,354.61
1989,6,32674,1989.4548,357.69,354.8,357.7,354.88,357.69,354.8
1989,7,32704,1989.537,351.54,354.93,351.48,354.99,351.54,354.93
1989,8,32735,1989.6219,345.73,355.19,345.58,355.1,345.73,355.19
1989,9,32766,1989.7068,346.15,355.16,346.24,355.19,346.15,355.16
1989,10,32796,1989.789,349.87,354.42,350.81,355.28,349.87,354.42
1989,11,32827,1989.874,354.69,355.05,355.06,355.35,354.69,355.05
1989,12,32857,1989.9562,358.28,356.02,357.7,355.42,358.28,356.02
1990,1,32888,1990.0411,359.28,355.7,359.06,355.47,359.28,355.7
1990,2,32919,1990.126,360.11,355.9,359.74,355.53,360.11,355.9
1990,3,32947,1990.2027,360.76,356.16,360.18,355.57,360.76,356.16
1990,4,32978,1990.2877,360.58,355.8,360.4,355.61,360.58,355.8
1990,5,33008,1990.3699,360.19,355.26,360.59,355.66,360.19,355.26
1990,6,33039,1990.4548,357.69,354.78,358.56,355.72,357.69,354.78
1990,7,33069,1990.537,351.26,354.67,352.25,355.79,351.26,354.67
1990,8,33100,1990.6219,346.19,355.71,346.3,355.88,346.19,355.71
1990,9,33131,1990.7068,347.08,356.15,346.97,355.98,347.08,356.15
1990,10,33161,1990.789,350.79,355.36,351.6,356.09,350.79,355.36
1990,11,33192,1990.874,355.73,356.09,355.92,356.22,355.73,356.09
1990,12,33222,1990.9562,358.42,356.15,358.65,356.35,358.42,356.15
1991,1,33253,1991.0411,360.48,356.88,360.1,356.49,360.48,356.88
1991,2,33284,1991.126,362.03,357.79,360.87,356.63,362.03,357.79
1991,3,33312,1991.2027,360.92,356.28,361.39,356.75,360.92,356.28
1991,4,33343,1991.2877,361.86,357.05,361.7,356.89,361.86,357.05
1991,5,33373,1991.3699,361.44,356.47,361.98,357.01,361.44,356.47
1991,6,33404,1991.4548,359.86,356.93,360,357.14,359.86,356.93
1991,7,33434,1991.537,354.11,357.54,353.7,357.26,354.11,357.54
1991,8,33465,1991.6219,347.52,357.11,347.74,357.38,347.52,357.11
1991,9,33496,1991.7068,348.64,357.77,348.42,357.49,348.64,357.77
1991,10,33526,1991.789,352.91,357.52,353.06,357.59,352.91,357.52
1991,11,33557,1991.874,357.5,357.86,357.37,357.68,357.5,357.86
1991,12,33587,1991.9562,359.93,357.64,360.06,357.75,359.93,357.64
1992,1,33618,1992.041,362.1,358.48,361.44,357.8,362.1,358.48
1992,2,33649,1992.1257,362.15,357.88,362.11,357.84,362.15,357.88
1992,3,33678,1992.2049,363.73,359.06,362.53,357.85,363.73,359.06
1992,4,33709,1992.2896,362.58,357.73,362.71,357.86,362.58,357.73
1992,5,33739,1992.3716,363.11,358.12,362.83,357.84,363.11,358.12
1992,6,33770,1992.4563,361.59,358.72,360.62,357.82,361.59,358.72
1992,7,33800,1992.5383,353.87,357.45,354.09,357.8,353.87,357.45
1992,8,33831,1992.623,346.93,356.62,348.03,357.77,346.93,356.62
1992,9,33862,1992.7077,347.78,356.94,348.66,357.76,347.78,356.94
1992,10,33892,1992.7896,352.16,356.76,353.23,357.75,352.16,356.76
1992,11,33923,1992.8743,356.74,357.08,357.47,357.76,356.74,357.08
1992,12,33953,1992.9563,361.02,358.71,360.11,357.78,361.02,358.71
1993,1,33984,1993.0411,361.86,358.22,361.46,357.8,361.86,358.22
1993,2,34015,1993.126,361.86,357.57,362.13,357.83,361.86,357.57
1993,3,34043,1993.2027,362.7,358,362.56,357.86,362.7,358
1993,4,34074,1993.2877,363.45,358.58,362.77,357.9,363.45,358.58
1993,5,34104,1993.3699,-99.99,-99.99,362.97,357.94,362.97,357.94
1993,6,34135,1993.4548,360.94,357.97,360.88,357.99,360.94,357.97
1993,7,34165,1993.537,354.12,357.6,354.45,358.05,354.12,357.6
1993,8,34196,1993.6219,348.05,357.76,348.37,358.13,348.05,357.76
1993,9,34227,1993.7068,348.42,357.67,349.05,358.24,348.42,357.67
1993,10,34257,1993.789,353.35,358.01,353.77,358.35,353.35,358.01
1993,11,34288,1993.874,356.97,357.33,358.19,358.49,356.97,357.33
1993,12,34318,1993.9562,360.31,358,360.99,358.65,360.31,358
1994,1,34349,1994.0411,363.01,359.35,362.5,358.81,363.01,359.35
1994,2,34380,1994.126,364.11,359.8,363.31,358.99,364.11,359.8
1994,3,34408,1994.2027,364.83,360.1,363.88,359.14,364.83,360.1
1994,4,34439,1994.2877,364.43,359.52,364.22,359.31,364.43,359.52
1994,5,34469,1994.3699,364.28,359.22,364.54,359.48,364.28,359.22
1994,6,34500,1994.4548,362.1,359.11,362.56,359.64,362.1,359.11
1994,7,34530,1994.537,356.7,360.2,356.17,359.8,356.7,360.2
1994,8,34561,1994.6219,350.84,360.61,350.15,359.97,350.84,360.61
1994,9,34592,1994.7068,350.46,359.76,350.89,360.13,350.46,359.76
1994,10,34622,1994.789,356.03,360.73,355.68,360.29,356.03,360.73
1994,11,34653,1994.874,360.01,360.38,360.15,360.46,360.01,360.38
1994,12,34683,1994.9562,363.27,360.94,362.98,360.62,363.27,360.94
1995,1,34714,1995.0411,363.48,359.79,364.5,360.8,363.48,359.79
1995,2,34745,1995.126,364.9,360.55,365.33,360.97,364.9,360.55
1995,3,34773,1995.2027,366.7,361.94,365.9,361.14,366.7,361.94
1995,4,34804,1995.2877,366.32,361.39,366.26,361.32,366.32,361.39
1995,5,34834,1995.3699,365.74,360.65,366.59,361.5,365.74,360.65
1995,6,34865,1995.4548,364.32,361.31,364.62,361.69,364.32,361.31
1995,7,34895,1995.537,358.58,362.11,358.23,361.88,358.58,362.11
1995,8,34926,1995.6219,352.04,361.87,352.19,362.07,352.04,361.87
1995,9,34957,1995.7068,353.45,362.81,352.96,362.27,353.45,362.81
1995,10,34987,1995.789,357.25,361.98,357.81,362.45,357.25,361.98
1995,11,35018,1995.874,362.31,362.68,362.33,362.64,362.31,362.68
1995,12,35048,1995.9562,365.65,363.31,365.19,362.81,365.65,363.31
1996,1,35079,1996.041,366.94,363.22,366.71,362.99,366.94,363.22
1996,2,35110,1996.1257,366.69,362.32,367.53,363.15,366.69,362.32
1996,3,35139,1996.2049,367.63,362.83,368.1,363.3,367.63,362.83
1996,4,35170,1996.2896,368.16,363.19,368.44,363.46,368.16,363.19
1996,5,35200,1996.3716,369.13,364.01,368.72,363.6,369.13,364.01
1996,6,35231,1996.4563,367.33,364.39,366.6,363.73,367.33,364.39
1996,7,35261,1996.5383,361.53,365.19,360.05,363.84,361.53,365.19
1996,8,35292,1996.623,356.14,366.07,353.96,363.94,356.14,366.07
1996,9,35323,1996.7077,354.52,363.91,354.69,364.02,354.52,363.91
1996,10,35353,1996.7896,360.11,364.82,359.45,364.08,360.11,364.82
1996,11,35384,1996.8743,363.82,364.18,363.85,364.14,363.82,364.18
1996,12,35414,1996.9563,365.54,363.18,366.59,364.19,365.54,363.18
1997,1,35445,1997.0411,368.35,364.61,368,364.25,368.35,364.61
1997,2,35476,1997.126,369.07,364.67,368.72,364.31,369.07,364.67
1997,3,35504,1997.2027,368.17,363.35,369.2,364.38,368.17,363.35
1997,4,35535,1997.2877,368.85,363.85,369.46,364.46,368.85,363.85
1997,5,35565,1997.3699,369.5,364.34,369.71,364.56,369.5,364.34
1997,6,35596,1997.4548,367.6,364.56,367.64,364.67,367.6,364.56
1997,7,35626,1997.537,360.86,364.43,361.1,364.8,360.86,364.43
1997,8,35657,1997.6219,355.18,365.13,354.93,364.94,355.18,365.13
1997,9,35688,1997.7068,356.04,365.52,355.68,365.1,356.04,365.52
1997,10,35718,1997.789,360.73,365.51,360.57,365.27,360.73,365.51
1997,11,35749,1997.874,364.77,365.14,365.14,365.45,364.77,365.14
1997,12,35779,1997.9562,367.84,365.47,368.05,365.64,367.84,365.47
1998,1,35810,1998.0411,369.45,365.69,369.63,365.86,369.45,365.69
1998,2,35841,1998.126,370.13,365.7,370.53,366.09,370.13,365.7
1998,3,35869,1998.2027,370.9,366.06,371.16,366.31,370.9,366.06
1998,4,35900,1998.2877,370.56,365.53,371.6,366.57,370.56,365.53
1998,5,35930,1998.3699,371.56,366.37,372.02,366.84,371.56,366.37
1998,6,35961,1998.4548,369.31,366.24,370.1,367.11,369.31,366.24
1998,7,35991,1998.537,364.51,368.1,363.66,367.38,364.51,368.1
1998,8,36022,1998.6219,357.45,367.47,357.59,367.66,357.45,367.47
1998,9,36053,1998.7068,360.58,370.12,358.44,367.92,360.58,370.12
1998,10,36083,1998.789,364.06,368.87,363.42,368.15,364.06,368.87
1998,11,36114,1998.874,368.75,369.12,368.05,368.37,368.75,369.12
1998,12,36144,1998.9562,371.63,369.24,370.97,368.55,371.63,369.24
1999,1,36175,1999.0411,372.68,368.9,372.52,368.72,372.68,368.9
1999,2,36206,1999.126,373.88,369.42,373.33,368.87,373.88,369.42
1999,3,36234,1999.2027,373.8,368.93,373.87,368.98,373.8,368.93
1999,4,36265,1999.2877,374.13,369.07,374.16,369.1,374.13,369.07
1999,5,36295,1999.3699,374.54,369.32,374.42,369.2,374.54,369.32
1999,6,36326,1999.4548,372.09,369.01,372.31,369.3,372.09,369.01
1999,7,36356,1999.537,364.85,368.46,365.66,369.4,364.85,368.46
1999,8,36387,1999.6219,359.13,369.21,359.37,369.51,359.13,369.21
1999,9,36418,1999.7068,359.7,369.31,360.08,369.62,359.7,369.31
1999,10,36448,1999.789,364.98,369.82,364.98,369.73,364.98,369.82
1999,11,36479,1999.874,369.83,370.21,369.54,369.86,369.83,370.21
1999,12,36509,1999.9562,372.67,370.27,372.41,369.98,372.67,370.27
2000,1,36540,2000.041,373.27,369.46,373.93,370.11,373.27,369.46
2000,2,36571,2000.1257,375.18,370.7,374.73,370.24,375.18,370.7
2000,3,36600,2000.2049,374.87,369.96,375.29,370.37,374.87,369.96
2000,4,36631,2000.2896,375.46,370.37,375.61,370.51,375.46,370.37
2000,5,36661,2000.3716,376.22,370.97,375.88,370.64,376.22,370.97
2000,6,36692,2000.4563,374.06,371.04,373.71,370.78,374.06,371.04
2000,7,36722,2000.5383,366.57,370.33,367.02,370.91,366.57,370.33
2000,8,36753,2000.623,360.82,371,360.8,371.04,360.82,371
2000,9,36784,2000.7077,361.83,371.46,361.6,371.16,361.83,371.46
2000,10,36814,2000.7896,367.57,372.4,366.53,371.28,367.57,372.4
2000,11,36845,2000.8743,370.6,370.96,371.09,371.39,370.6,370.96
2000,12,36875,2000.9563,373.42,371.01,373.95,371.5,373.42,371.01
2001,1,36906,2001.0411,376.2,372.37,375.45,371.6,376.2,372.37
2001,2,36937,2001.126,375.98,371.48,376.22,371.7,375.98,371.48
2001,3,36965,2001.2027,376.49,371.55,376.73,371.79,376.49,371.55
2001,4,36996,2001.2877,377.54,372.42,377.01,371.89,377.54,372.42
2001,5,37026,2001.3699,377.73,372.44,377.27,371.98,377.73,372.44
2001,6,37057,2001.4548,374.86,371.74,375.12,372.08,374.86,371.74
2001,7,37087,2001.537,367.43,371.09,368.4,372.19,367.43,371.09
2001,8,37118,2001.6219,361.71,371.91,362.05,372.31,361.71,371.91
2001,9,37149,2001.7068,363.47,373.19,362.78,372.43,363.47,373.19
2001,10,37179,2001.789,367.8,372.7,367.75,372.57,367.8,372.7
2001,11,37210,2001.874,373.23,373.61,372.39,372.71,373.23,373.61
2001,12,37240,2001.9562,374.48,372.05,375.33,372.86,374.48,372.05
2002,1,37271,2002.0411,376.7,372.85,376.9,373.03,376.7,372.85
2002,2,37302,2002.126,377.48,372.94,377.75,373.2,377.48,372.94
2002,3,37330,2002.2027,378.32,373.35,378.34,373.37,378.32,373.35
2002,4,37361,2002.2877,378.79,373.64,378.73,373.57,378.79,373.64
2002,5,37391,2002.3699,379.07,373.75,379.09,373.77,379.07,373.75
2002,6,37422,2002.4548,376.01,372.88,377.06,374,376.01,372.88
2002,7,37452,2002.537,370.82,374.5,370.41,374.22,370.82,374.5
2002,8,37483,2002.6219,364.11,374.37,364.15,374.47,364.11,374.37
2002,9,37514,2002.7068,365.43,375.2,365.01,374.72,365.43,375.2
2002,10,37544,2002.789,370.31,375.24,370.13,374.97,370.31,375.24
2002,11,37575,2002.874,374.11,374.5,374.91,375.23,374.11,374.5
2002,12,37605,2002.9562,378.06,375.62,377.97,375.49,378.06,375.62
2003,1,37636,2003.0411,379.09,375.21,379.65,375.76,379.09,375.21
2003,2,37667,2003.126,379.41,374.85,380.6,376.02,379.41,374.85
2003,3,37695,2003.2027,380.95,375.95,381.26,376.26,380.95,375.95
2003,4,37726,2003.2877,381.45,376.27,381.71,376.52,381.45,376.27
2003,5,37756,2003.3699,382.45,377.1,382.1,376.76,382.45,377.1
2003,6,37787,2003.4548,381.1,377.95,380.06,376.98,381.1,377.95
2003,7,37817,2003.537,373.85,377.55,373.35,377.18,373.85,377.55
2003,8,37848,2003.6219,368.04,378.37,366.99,377.37,368.04,378.37
2003,9,37879,2003.7068,368.63,378.46,367.76,377.53,368.63,378.46
2003,10,37909,2003.789,372.36,377.31,372.8,377.67,372.36,377.31
2003,11,37940,2003.874,377.8,378.18,377.47,377.8,377.8,378.18
2003,12,37970,2003.9562,380.08,377.62,380.4,377.91,380.08,377.62
2004,1,38001,2004.041,382.53,378.63,381.93,378.01,382.53,378.63
2004,2,38032,2004.1257,382.41,377.82,382.71,378.11,382.41,377.82
2004,3,38061,2004.2049,381.66,376.63,383.25,378.21,381.66,376.63
2004,4,38092,2004.2896,383.28,378.06,383.54,378.31,383.28,378.06
2004,5,38122,2004.3716,383.64,378.26,383.79,378.42,383.64,378.26
2004,6,38153,2004.4563,382.68,379.59,381.54,378.53,382.68,379.59
2004,7,38183,2004.5383,374.7,378.55,374.65,378.64,374.7,378.55
2004,8,38214,2004.623,368.75,379.18,368.27,378.76,368.75,379.18
2004,9,38245,2004.7077,368.65,378.5,369.09,378.88,368.65,378.5
2004,10,38275,2004.7896,373.46,378.42,374.15,379.01,373.46,378.42
2004,11,38306,2004.8743,378.58,378.96,378.85,379.16,378.58,378.96
2004,12,38336,2004.9563,381.76,379.28,381.83,379.32,381.76,379.28
2005,1,38367,2005.0411,384.2,380.27,383.43,379.49,384.2,380.27
2005,2,38398,2005.126,384.38,379.76,384.3,379.68,384.38,379.76
2005,3,38426,2005.2027,384.21,379.16,384.91,379.85,384.21,379.16
2005,4,38457,2005.2877,385.38,380.13,385.31,380.06,385.38,380.13
2005,5,38487,2005.3699,385.39,379.98,385.68,380.27,385.39,379.98
2005,6,38518,2005.4548,383.87,380.68,383.61,380.49,383.87,380.68
2005,7,38548,2005.537,377.13,380.88,376.83,380.71,377.13,380.88
2005,8,38579,2005.6219,370.67,381.12,370.44,380.94,370.67,381.12
2005,9,38610,2005.7068,372.17,382.12,371.29,381.18,372.17,382.12
2005,10,38640,2005.789,375.27,380.29,376.47,381.41,375.27,380.29
2005,11,38671,2005.874,381.78,382.17,381.31,381.64,381.78,382.17
2005,12,38701,2005.9562,385.13,382.64,384.4,381.87,385.13,382.64
2006,1,38732,2006.0411,385.04,381.09,386.08,382.12,385.04,381.09
2006,2,38763,2006.126,385.61,380.96,387.02,382.36,385.61,380.96
2006,3,38791,2006.2027,386.88,381.8,387.68,382.59,386.88,381.8
2006,4,38822,2006.2877,387.81,382.53,388.13,382.85,387.81,382.53
2006,5,38852,2006.3699,388.71,383.26,388.54,383.09,388.71,383.26
2006,6,38883,2006.4548,387.61,384.39,386.47,383.33,387.61,384.39
2006,7,38913,2006.537,380.95,384.72,379.64,383.55,380.95,384.72
2006,8,38944,2006.6219,373.96,384.48,373.18,383.74,373.96,384.48
2006,9,38975,2006.7068,374.88,384.89,373.97,383.92,374.88,384.89
2006,10,39005,2006.789,378.95,384,379.1,384.06,378.95,384
2006,11,39036,2006.874,384.29,384.68,383.85,384.18,384.29,384.68
2006,12,39066,2006.9562,387.24,384.73,386.82,384.28,387.24,384.73
2007,1,39097,2007.0411,388.37,384.4,388.36,384.37,388.37,384.4
2007,2,39128,2007.126,388.9,384.23,389.13,384.45,388.9,384.23
2007,3,39156,2007.2027,389.77,384.66,389.64,384.52,389.77,384.66
2007,4,39187,2007.2877,389.85,384.54,389.92,384.61,389.85,384.54
2007,5,39217,2007.3699,389.59,384.11,390.17,384.7,389.59,384.11
2007,6,39248,2007.4548,387.94,384.71,387.95,384.8,387.94,384.71
2007,7,39278,2007.537,380.86,384.65,380.99,384.92,380.86,384.65
2007,8,39309,2007.6219,373.03,383.61,374.44,385.06,373.03,383.61
2007,9,39340,2007.7068,375.44,385.51,375.22,385.23,375.44,385.51
2007,10,39370,2007.789,380.74,385.82,380.41,385.4,380.74,385.82
2007,11,39401,2007.874,384.36,384.76,385.26,385.59,384.36,384.76
2007,12,39431,2007.9562,-99.99,-99.99,388.34,385.79,388.34,385.79
2008,1,39462,2008.041,390.2,386.21,390,385.99,390.2,386.21
2008,2,39493,2008.1257,390.96,386.27,390.9,386.2,390.96,386.27
2008,3,39522,2008.2049,392.63,387.47,391.54,386.38,392.63,387.47
2008,4,39553,2008.2896,392.38,387.03,391.92,386.58,392.38,387.03
2008,5,39583,2008.3716,392.73,387.22,392.25,386.75,392.73,387.22
2008,6,39614,2008.4563,389.54,386.38,390.01,386.93,389.54,386.38
2008,7,39644,2008.5383,383.07,387.01,383.01,387.09,383.07,387.01
2008,8,39675,2008.623,-99.99,-99.99,376.52,387.25,376.52,387.25
2008,9,39706,2008.7077,377.53,387.62,377.38,387.41,377.53,387.62
2008,10,39736,2008.7896,381.58,386.72,382.4,387.54,381.58,386.72
2008,11,39767,2008.8743,388.22,388.65,387.24,387.67,388.22,388.65
2008,12,39797,2008.9563,390.02,387.23,390.59,387.8,390.02,387.23
2009,1,39828,2009.0411,393.32,389.21,392.04,387.92,393.32,389.21
2009,2,39859,2009.126,392.46,387.94,392.56,388.04,392.46,387.94
2009,3,39887,2009.2027,393.6,388.48,393.25,388.13,393.6,388.48
2009,4,39918,2009.2877,394.02,388.66,393.58,388.22,394.02,388.66
2009,5,39948,2009.3699,394.12,388.63,393.8,388.31,394.12,388.63
2009,6,39979,2009.4548,391.71,388.26,391.84,388.39,391.71,388.26
2009,7,40009,2009.537,385.17,388.92,384.72,388.47,385.17,388.92
2009,8,40040,2009.6219,377.99,388.66,377.9,388.56,377.99,388.66
2009,9,40071,2009.7068,377.76,387.88,378.55,388.67,377.76,387.88
2009,10,40101,2009.789,383.07,388.19,383.67,388.79,383.07,388.19
2009,11,40132,2009.874,387.37,387.75,388.54,388.93,387.37,387.75
2009,12,40162,2009.9562,-99.99,-99.99,391.91,389.09,391.91,389.09
2010,1,40193,2010.0411,392.48,388.42,393.34,389.28,392.48,388.42
2010,2,40224,2010.126,393.63,389.07,394.05,389.49,393.63,389.07
2010,3,40252,2010.2027,393.83,388.56,394.97,389.7,393.83,388.56
2010,4,40283,2010.2877,395.15,389.67,395.42,389.94,395.15,389.67
2010,5,40313,2010.3699,395.75,390.25,395.69,390.19,395.75,390.25
2010,6,40344,2010.4548,394.62,391.37,393.69,390.44,394.62,391.37
2010,7,40374,2010.537,386.41,390.54,386.57,390.69,386.41,390.54
2010,8,40405,2010.6219,380.8,391.73,380.01,390.94,380.8,391.73
2010,9,40436,2010.7068,382.35,392.39,381.13,391.17,382.35,392.39
2010,10,40466,2010.789,387.12,392.26,386.24,391.38,387.12,392.26
2010,11,40497,2010.874,391.52,391.92,391.19,391.58,391.52,391.92
2010,12,40527,2010.9562,394.17,391.31,394.61,391.76,394.17,391.31
2011,1,40558,2011.0411,395.39,391.33,395.99,391.93,395.39,391.33
2011,2,40589,2011.126,396.26,391.65,396.7,392.1,396.26,391.65
2011,3,40617,2011.2027,397.63,392.27,397.61,392.25,397.63,392.27
